logM logSFR logZ z duste ngrid
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 0.009033081885619685 -0.5712368505675101
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 0.19066668166931433 -0.16940158400856065
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 0.4404911840982963 -0.13494552257385561
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 0.8873498694275661 -0.7197919933323866
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 2.194347211984832 -0.8665901541770225
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 0.009033081885619685 -0.3166831983401275
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 0.19066668166931433 -0.1940082968707978
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 0.4404911840982963 -0.0048511773641496045
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 0.8873498694275661 -1.076769568782804
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 2.194347211984832 -0.981748222062242
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 0.009033081885619685 -0.36972272200795986
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 0.19066668166931433 -0.06528689763019667
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 0.4404911840982963 0.031883937499896625
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 0.8873498694275661 -0.5997012689668759
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 2.194347211984832 -0.6815766537844776
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.6338 0.009033081885619685 -0.3944087862093294
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.6338 0.19066668166931433 -0.33482089061367315
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.6338 0.4404911840982963 -0.2969009008817085
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.6338 0.8873498694275661 -0.5097598253787976
