logM logSFR logZ z axis_ratio ngrid taugrid
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.5174 0.09066798309346322 -0.6766553862939391 0.6611197835702034
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.5174 0.3809665908812067 -0.19739846050041698 0.2200363746694811
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.5174 0.5419596572709843 -0.7450570391149993 0.5120522150810579
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.5174 0.7127433928555273 -0.1052677919579803 0.28502771856718834
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.5174 0.9664542801401295 -0.24127140811731596 0.4234983352864544
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.8031 0.09066798309346322 -0.7708393384271659 0.19666055068066968
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.8031 0.3809665908812067 -0.03881651447533898 0.17258256340436537
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.8031 0.5419596572709843 0.06202864993316083 0.1690644959757609
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.8031 0.7127433928555273 0.2563845736996399 0.13607921763889552
8.741825464093454 -2.0640920290295046 -1.7049187186549248 0.8031 0.9664542801401295 0.06497547419746769 0.24413193328125124
8.741825464093454 -2.0640920290295046 -1.7049187186549248 1.098 0.09066798309346322 -0.24292129341788 0.4534170410989513
8.741825464093454 -2.0640920290295046 -1.7049187186549248 1.098 0.3809665908812067 0.17085269206052844 0.19054819024769987
8.741825464093454 -2.0640920290295046 -1.7049187186549248 1.098 0.5419596572709843 0.022186239763242886 0.4041319521783282
8.741825464093454 -2.0640920290295046 -1.7049187186549248 1.098 0.7127433928555273 -0.238089741003599 0.5984722351232846
8.741825464093454 -2.0640920290295046 -1.7049187186549248 1.098 0.9664542801401295 -0.3498423067931138 0.6673020059339339
8.741825464093454 -2.0640920290295046 -1.7049187186549248 1.6266 0.09066798309346322 -0.2962766322557237 0.8168273404574795
8.741825464093454 -2.0640920290295046 -1.7049187186549248 1.6266 0.3809665908812067 -0.2787399750306253 0.8023699529409971
8.741825464093454 -2.0640920290295046 -1.7049187186549248 1.6266 0.5419596572709843 -0.2809934794414862 0.7879616397682948
