logM logSFR logZ z dust2 ngrid
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 0.00822117412400696 -0.4318001660641661
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 0.16935474246716406 0.03220731107589328
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 0.3932802178196829 0.05561740710797944
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 0.7835473932098842 -0.5674958312864383
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.5176 1.94586915330422 -0.8491576856714106
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 0.00822117412400696 -0.14775825363159034
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 0.16935474246716406 -0.09633886517461693
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 0.3932802178196829 0.3360940519601664
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 0.7835473932098842 -0.7709180427011197
8.74122562127041 -2.0893933404266862 -1.7077973668437234 0.8049 1.94586915330422 -0.9005827562539837
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 0.00822117412400696 -0.22572804118339757
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 0.16935474246716406 0.05671155028327163
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 0.3932802178196829 0.14826834664300997
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 0.7835473932098842 -0.45111169313925276
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.1011 1.94586915330422 -0.5239760100714348
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.6338 0.00822117412400696 -0.2895365917537265
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.6338 0.16935474246716406 -0.2321728068797852
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.6338 0.3932802178196829 -0.17779148817564927
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.6338 0.7835473932098842 -0.35934812002887784
8.74122562127041 -2.0893933404266862 -1.7077973668437234 1.6338 1.94586915330422 -0.3286072236921139
8.74122562127041 -2.0893933404266862 -1.7077973668437234 2.8549 0.00822117412400696 -0.29598935507119184
8.74122562127041 -2.0893933404266862 -1.7077973668437234 2.8549 0.16935474246716406 -0.2844869854948837
8.74122562127041 -2.0893933404266862 -1.7077973668437234 2.8549 0.3932802178196829 -0.27597521741815906
8.74122562127041 -2.0893933404266862 -1.7077973668437234 2.8549 0.7835473932098842 -0.30590429702152655
8.74122562127041 -2.0893933404266862 -1.7077973668437234 2.8549 1.94586915330422 -0.3009995340660051
8.74122562127041 -2.0893933404266862 -0.5547283557099562 0.5176 0.00822117412400696 -0.6690846295161204
