dust1 ngrid
0.007164909828219347 0.011911153070714584
0.03826814790571569 0.048998007491957644
0.06773435342093365 0.0808814529019744
0.09780784060820895 0.1108592332740468
0.1287127782657072 0.14395227488641205
0.16220165313129292 0.1816662597963743
0.1983004322473142 0.21019214813829157
0.23748041365497816 0.2542238261383971
0.2813759146093499 0.2949880182008191
0.3311618155864748 0.3484071522799848
0.38786868608108155 0.3990967836464233
0.4523726105471996 0.4605823560901261
0.5281199652273848 0.5220207351945474
0.6145539183047024 0.625926672151891
0.7162214372752763 0.7073164668671179
0.835152022853943 0.820547941239451
0.9865171738323092 0.9915093251441621
1.1874475516271255 1.1018609671533488
1.4928825522987323 1.336087721182961
2.2270860473337586 1.7924537420240605
